BHK,Location,Size(sq.ft),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For
1,Vidyaranyapura,450,50000,8000,Semi Furnished,5-10 years ,All
2,786 Rachenahalli Main Road,700,100000,15000,Semi Furnished,Newly Constructed,All
2,Attiguppe,1100,170000,17000,Full Furnished,3-5 years ,Family
1,Whitefield,250,30000,9000,Semi Furnished,Newly Constructed,All
1,Seshadripuram,700,80000,15000,Semi Furnished,>10 years ,All
2,Soundarya Layout,1170,100000,16000,Semi Furnished,1-3 years ,All
2,Kaggadasapura,1110,100000,15000,Semi Furnished,5-10 years ,Family
2,Cross,700,100000,15000,Full Furnished,5-10 years ,Family
3,Mahadevapura,1805,100000,28,Semi Furnished,1-3 years ,All
2,Cox Town,1200,200000,22000,Semi Furnished,1-3 years ,Family
3,Varthur,1655,200000,30000,Semi Furnished,Newly Constructed,All
3,Munnekollal,1485,100000,25000,Semi Furnished,3-5 years ,All
2,Kattigenahalli Government High School,600,50000,5500,UnFurnished,Newly Constructed,Family
2,Kattigenahalli Government High School,600,50000,5500,UnFurnished,Newly Constructed,Family
3,Kadugodi,1600,120000,28000,Semi Furnished,3-5 years ,All
1,Baglur,1000,30000,6000,UnFurnished,Newly Constructed,All
1,Banaswadi,650,80000,12500,Semi Furnished,5-10 years ,Family
2,Banashankari,1200,80000,16000,Semi Furnished,3-5 years ,All
1,Kadugondanahalli,600,100000,11000,UnFurnished,1-3 years ,All
2,Whitefield,1250,120000,21000,Semi Furnished,5-10 years ,Family
1,Vijaya Nagar,600,100000,10200,Semi Furnished,>10 years ,Family
2,Basavanagudi,600,170000,17000,Semi Furnished,>10 years ,Family
2,Avani Shringeri Nagar,1200,100000,16000,Semi Furnished,5-10 years ,Family
2,Whitefield,1047,150000,27000,Semi Furnished,Newly Constructed,All
3,Btm Layout,1100,110000,20000,Semi Furnished,5-10 years ,All
2,Dodda Banaswadi,1200,1500000,https://images.nobroker.in/images/ff80818150c1cfb00150c814b3862bdf/ff80818150c1cfb00150c814b3862bdf_63344_33916_medium.jpg,Semi Furnished,5-10 years ,Family
1,Hsr Layout,600,70000,14000,Semi Furnished,1-3 years ,All
2,Jalahalli,1350,130000,13000,Semi Furnished,>10 years ,All
2,Muddinapalya,1200,190000,19000,Semi Furnished,Newly Constructed,Family
2,Dommasandra,1035,50000,14000,Semi Furnished,1-3 years ,Family
1,Dodda Banaswadi,600,120000,12000,Full Furnished,Under Construction,Family
1,104 10th Cross Road,350,60000,11000,Semi Furnished,1-3 years ,Family
2,Gottigere,1299,150000,21000,Semi Furnished,Newly Constructed,Family
2,Hbr Layout,1200,150000,15000,Semi Furnished,>10 years ,Family
3,Bilekahalli,1850,150000,30000,Semi Furnished,3-5 years ,Family
2,Krishnarajapura,1000,80000,10000,Semi Furnished,Newly Constructed,Family
3,Arekere,1449,100000,21000,Semi Furnished,5-10 years ,Family
1,Bellandur,1170,190000,19000,Semi Furnished,5-10 years ,Family
2,Thirupalya,770,50000,13000,Semi Furnished,3-5 years ,All
1,K R Puram,500,50000,6700,Semi Furnished,1-3 years ,All
2,Kalyan Nagar,1253,200000,22000,Full Furnished,1-3 years ,Family
2,,900,150000,16000,Semi Furnished,3-5 years ,All
1,Yemalur,200,20000,4000,UnFurnished,Newly Constructed,All
2,Horamavu,1100,150000,16000,Full Furnished,5-10 years ,All
1,Peenya,680,300000,https://images.nobroker.in/images/8a9f92d973d186b80173d2ebd00e405c/8a9f92d973d186b80173d2ebd00e405c_80700_56191_medium.jpg,UnFurnished,3-5 years ,Family
1,Chandapura,600,25000,7000,Semi Furnished,Newly Constructed,All
1,Aavalahalli,1200,40000,7500,Semi Furnished,1-3 years ,Family
2,Mahadevapura,1000,100000,16500,Semi Furnished,5-10 years ,All
2,Chansandra,1100,72000,12000,Semi Furnished,Newly Constructed,Family
1,Yemalur,475,40000,8000,UnFurnished,Newly Constructed,All
3,Halehalli Kithiganur,1800,200000,18000,Semi Furnished,Newly Constructed,All
2,Btm Layout,800,150000,15000,Semi Furnished,>10 years ,Family
2,Veerannapalya,600,90000,10000,Semi Furnished,Newly Constructed,Family
2,Veerannapalya,600,90000,10000,Semi Furnished,Newly Constructed,Family
1,Banaswadi,220,30000,5500,Full Furnished,1-3 years ,All
2,Pulikeshi Nagar,900,100000,16000,Semi Furnished,>10 years ,All
2,Anantapura,1200,1000000,https://images.nobroker.in/images/ff8081816cc378ea016cc73aafdf6b98/ff8081816cc378ea016cc73aafdf6b98_93115_94160_medium.jpg,Semi Furnished,Newly Constructed,All
2,Electronic City,1301,130000,13001,Full Furnished,3-5 years ,Family
2,Bellandur,1280,100000,35000,Semi Furnished,1-3 years ,All
2,Laggere,700,800000,https://images.nobroker.in/images/8a9f821e76035edc017603a0141e1555/8a9f821e76035edc017603a0141e1555_78805_11620_medium.jpg,Semi Furnished,5-10 years ,Family
3,Hsr Layout 5th Sector,1600,300000,45000,Full Furnished,3-5 years ,All
2,,800,100000,10000,Semi Furnished,3-5 years ,All
2,Wilson Garden,600,100000,14500,UnFurnished,>10 years ,Family
1,Hebbal,600,80000,9000,Semi Furnished,>10 years ,All
2,Kasavanahalli,1200,200000,25000,Full Furnished,5-10 years ,All
3,Electronics City Phase 1,1200,75000,18000,Semi Furnished,1-3 years ,All
2,Chikkakannalli,1140,50000,14000,Semi Furnished,1-3 years ,Family
1,Gavipuram Extension,100,60000,6000,Semi Furnished,>10 years ,Bachelors
1,Hongasandra,550,30000,8000,Semi Furnished,1-3 years ,Family
1,Kanakapura Road,600,60000,10500,Semi Furnished,Newly Constructed,All
3,Sarjapur Road,1984,300000,42000,Semi Furnished,1-3 years ,Family
3,Krishnarajapura,1242,100000,19000,Semi Furnished,3-5 years ,All
1,Btm 2nd Stage,400,30000,7000,Semi Furnished,1-3 years ,All
3,Krishnarajapura,1242,100000,19000,Semi Furnished,3-5 years ,All
1,Btm 2nd Stage,400,30000,7000,Semi Furnished,1-3 years ,All
2,Thanisandra,1200,150000,22000,Semi Furnished,1-3 years ,Family
3,Whitefield,1805,250000,38000,Semi Furnished,1-3 years ,All
1,Hebbal,1200,80000,12000,Semi Furnished,1-3 years ,Bachelors
1,Whitefield,550,30000,13200,Semi Furnished,Newly Constructed,All
2,Halasuru,550,80000,13000,Semi Furnished,3-5 years ,Family
2,Kattigenahalli,700,400000,8500,UnFurnished,1-3 years ,All
2,"Karnataka 560035
Https:goo.glmapspb2hb1larxy131vqa",1230,180000,20000,Semi Furnished,1-3 years ,All
2,Bommanahalli,1450,250000,25000,Full Furnished,5-10 years ,All
2,Chikkabellandur,1050,100000,22000,Semi Furnished,3-5 years ,All
1,Hsr Layout,500,30000,7500,Semi Furnished,Newly Constructed,All
1,Jalahalli,170,40000,4000,Semi Furnished,1-3 years ,Bachelors
2,Chandra Layout,1050,135000,13500,Semi Furnished,5-10 years ,Family
2,Byrathi,1200,100000,16000,Semi Furnished,5-10 years ,Family
2,Btm Layout,650,150000,19000,Semi Furnished,3-5 years ,Family
3,Vimanapura,1650,150000,28000,Semi Furnished,3-5 years ,Family
2,Rk Hegde Nagar,800,100000,12000,UnFurnished,Newly Constructed,All
1,Jp Nagar,900,70000,11000,Semi Furnished,1-3 years ,All
3,Kothanur,1450,150000,22000,Semi Furnished,3-5 years ,All
1,Munnekollal,550,40000,12000,Semi Furnished,3-5 years ,Family
2,Choodasandra,800,100000,12000,Full Furnished,1-3 years ,All
3,Hoodi,1625,100000,32000,Full Furnished,>10 years ,All
3,Kasavanahalli,1071,100000,23000,Semi Furnished,3-5 years ,All
2,Basapura,996,75000,19000,Semi Furnished,5-10 years ,All
2,Jayanagar,1200,250000,40000,Semi Furnished,>10 years ,Family
1,Nagarbhavi,400,30000,10000,Full Furnished,3-5 years ,Bachelors
1,Vijayanagar,562,40000,6000,UnFurnished,>10 years ,All
1,2nd Cross,1200,500000,https://images.nobroker.in/images/8a9f822e7604a1250176059c8eda383e/8a9f822e7604a1250176059c8eda383e_76314_13165_medium.jpg,Semi Furnished,1-3 years ,Family
2,Banashankari,550,1000000,https://images.nobroker.in/images/ff808181692da9a601692dcb4ff41aaa/ff808181692da9a601692dcb4ff41aaa_80500_83552_medium.jpg,UnFurnished,1-3 years ,Family
2,Jayanagar,1500,150000,25000,UnFurnished,3-5 years ,Family
1,Jayanagar,300,50000,6000,UnFurnished,1-3 years ,Bachelors
1,Jp Nagar,600,60000,8000,Semi Furnished,1-3 years ,All
2,Electronic City,1500,150000,26000,Full Furnished,5-10 years ,Family
1,Btm Layout 2nd Stage,440,45000,8000,Semi Furnished,1-3 years ,All
2,Thammenahalli Village,1200,1500000,https://images.nobroker.in/images/8a9f9a8376eefddd0176ef4ab5190382/8a9f9a8376eefddd0176ef4ab5190382_75936_28935_medium.jpg,Full Furnished,Newly Constructed,All
2,Chikkabellandur,1350,200000,35000,Semi Furnished,3-5 years ,All
1,Btm Layout 2nd Stage,430,40000,8000,Semi Furnished,1-3 years ,All
3,Hebbal,1550,210000,21000,Semi Furnished,5-10 years ,Family
2,Hulimavu,1000,100000,15000,Semi Furnished,5-10 years ,Family
3,Hebbal,1550,210000,21000,Semi Furnished,5-10 years ,Family
2,Hulimavu,1000,100000,15000,Semi Furnished,5-10 years ,Family
2,Yelahanka,1200,80000,16000,Semi Furnished,Newly Constructed,Family
1,Chikkathoguru,80,35000,4000,UnFurnished,1-3 years ,All
2,Lingarajapuram,850,60000,13000,UnFurnished,3-5 years ,All
2,Panathur,1139,75000,19000,Semi Furnished,5-10 years ,All
3,Smv Layout,2400,200000,20000,Semi Furnished,5-10 years ,All
3,Vijaya Nagar,1000,140000,14000,UnFurnished,>10 years ,Family
2,Bommanahalli,1171,190000,17000,Semi Furnished,3-5 years ,Family
2,Kadabagere,500,60000,5500,UnFurnished,Newly Constructed,Family
2,Nayanda Halli,720,90000,9000,Semi Furnished,3-5 years ,Family
3,Marathahalli,1800,200000,32000,Semi Furnished,5-10 years ,All
1,Banashankari,500,500000,https://images.nobroker.in/images/8a9f8203751531ee0175176ba7047ed1/8a9f8203751531ee0175176ba7047ed1_38267_18301_medium.jpg,Semi Furnished,5-10 years ,Family
1,J. P. Nagar,400,120000,12000,UnFurnished,>10 years ,All
2,Hsr Layout,1100,150000,27000,Semi Furnished,5-10 years ,All
2,Kumaraswamy Layout,1000,80000,13500,Semi Furnished,>10 years ,Family
1,Bommanahalli,600,50000,11500,Semi Furnished,1-3 years ,All
2,Hormavu,950,80000,12750,Semi Furnished,5-10 years ,All
1,Mallathahalli,500,60000,6500,Semi Furnished,5-10 years ,All
2,Koramangala,1200,100000,27000,Semi Furnished,>10 years ,All
2,C V Raman Nagar,600,120000,12000,Semi Furnished,>10 years ,Family
3,Electronic City,1605,400000,40000,Semi Furnished,1-3 years ,Family
3,Whitefield,2600,200000,35000,Semi Furnished,1-3 years ,All
2,Nagarabhavi,800,150000,16500,Semi Furnished,5-10 years ,All
2,Ayyappa Nagar,1040,60000,15000,Semi Furnished,1-3 years ,Family
2,Kaggadasapura,1208,100000,18000,Semi Furnished,>10 years ,All
1,Bommanahalli,425,70000,9000,Semi Furnished,Under Construction,All
1,Rk Hegde Nagar,600,60000,9000,Semi Furnished,3-5 years ,All
2,Panathur,1085,120000,21000,Semi Furnished,Newly Constructed,Family
3,Marathahalli,1200,60000,23000,Semi Furnished,3-5 years ,All
2,Bellandur,1410,125000,30000,Semi Furnished,5-10 years ,All
2,Hebbal,1000,100000,13000,Semi Furnished,3-5 years ,All
3,Kadubeesanahalli,1480,70000,26900,Semi Furnished,5-10 years ,All
2,Rr Nagar,1100,75000,13000,Semi Furnished,3-5 years ,Family
2,Yelahanka,600,50000,10500,Semi Furnished,Newly Constructed,All
2,Adugodi,600,60000,18000,Full Furnished,5-10 years ,All
3,Brookefield,1371,200000,35000,Semi Furnished,1-3 years ,Family
2,Whitefield,1235,150000,21000,Semi Furnished,3-5 years ,Family
2,Jeevan Bima Nagar,1000,150000,20000,Semi Furnished,Newly Constructed,Family
1,,400,63000,9000,Semi Furnished,Newly Constructed,All
2,Jeevan Bima Nagar,1000,150000,20000,Semi Furnished,Newly Constructed,Family
1,,400,63000,9000,Semi Furnished,Newly Constructed,All
2,Mathikere,1100,100000,15000,Semi Furnished,5-10 years ,Family
2,Singasandra,1200,250000,25000,Semi Furnished,Newly Constructed,Family
2,India,600,100000,16000,Semi Furnished,1-3 years ,All
1,Koramangala,150,25000,7000,Semi Furnished,1-3 years ,Bachelors
1,Begur,650,50000,8500,Semi Furnished,3-5 years ,Family
2,Indiranagar,1350,150000,35000,Semi Furnished,5-10 years ,All
3,Btm 2nd Stage,1850,350000,57500,Full Furnished,>10 years ,Family
2,Jakkuru,1100,100000,14000,Semi Furnished,1-3 years ,Family
2,,1250,100000,17000,UnFurnished,>10 years ,Family
2,Munnekollal,875,45000,16000,Semi Furnished,5-10 years ,All
1,Mahadevapura,450,50000,12000,Semi Furnished,Newly Constructed,All
1,Choodasandra,600,72000,8500,Semi Furnished,5-10 years ,All
2,Kittanahalli,600,40000,9000,UnFurnished,3-5 years ,All
2,Mahadevapura,800,75000,15000,Semi Furnished,5-10 years ,All
2,Electronic City,1100,50000,15000,Semi Furnished,>10 years ,Family
2,Whitefield,1174,300000,30000,Semi Furnished,Newly Constructed,Company
1,Jp Nagar,760,95000,9500,Semi Furnished,Under Construction,Family
2,Kamakya,1380,165000,16500,Semi Furnished,>10 years ,Family
2,Vidyaranyapura,750,60000,9600,Semi Furnished,3-5 years ,Family
1,C V Raman Nagar,750,100000,14000,Semi Furnished,Newly Constructed,All
2,Murgesh Pallya,1100,40000,12000,Semi Furnished,>10 years ,Bachelors
3,Whitefield,1765,150000,26000,Semi Furnished,3-5 years ,Family
2,Jp Nagar,1170,120000,16000,Semi Furnished,Newly Constructed,Family
1,Whitefield,850,100000,14000,Semi Furnished,5-10 years ,All
1,Jayanagara,450,100000,11800,Semi Furnished,5-10 years ,All
2,Kadubeesanahalli,813,60000,16500,Semi Furnished,5-10 years ,All
2,Chikkalasandra,1353,1650000,https://images.nobroker.in/images/ff8081815da6cd26015da70945781f72/ff8081815da6cd26015da70945781f72_5801_medium.jpg,Semi Furnished,1-3 years ,Family
1,Krishnarajapura,600,75000,10000,Semi Furnished,Newly Constructed,Family
1,Kadubeesanahalli,563,60000,12500,Semi Furnished,Newly Constructed,All
2,Bhoganhalli,1300,150000,25000,Semi Furnished,5-10 years ,Family
2,,900,40000,14000,Semi Furnished,Newly Constructed,Family
4,Btm Layout,3200,450000,57000,Semi Furnished,5-10 years ,All
1,Munnekollal,450,30000,10000,Semi Furnished,5-10 years ,All
1,Hsr Layout,450,1000000,12000,Semi Furnished,3-5 years ,All
2,Kothanur,1400,240000,24000,Semi Furnished,Newly Constructed,All
1,Vbhc Palmhaven 2,540,50000,8000,Semi Furnished,1-3 years ,All
1,Mathikere,550,100000,10000,Semi Furnished,Newly Constructed,All
3,Electronic City,1665,100000,20000,Semi Furnished,3-5 years ,Family
1,Munnekollal,400,40000,11000,Semi Furnished,3-5 years ,All
1,Rajaji Nagar,400,50000,6000,UnFurnished,Newly Constructed,Family
2,Hebbal Kempapura,1100,130000,13000,Semi Furnished,5-10 years ,Family
1,Nelamangala Town,600,40000,7000,Semi Furnished,5-10 years ,Family
2,,1000,100000,14000,UnFurnished,1-3 years ,All
2,Krishnarajapura,1210,150000,19000,Semi Furnished,Newly Constructed,All
2,Panathur,1381,100000,23000,Semi Furnished,3-5 years ,All
1,Jp Nagar,350,35000,5500,Semi Furnished,Newly Constructed,Family
2,Kada Agrahara,900,100000,15000,Full Furnished,5-10 years ,All
2,Kasturi Nagar,1300,150000,25000,Semi Furnished,>10 years ,All
1,Ramamurthy Nagar,700,40000,8000,Semi Furnished,3-5 years ,All
2,Hsr Layout,700,50000,15000,Semi Furnished,3-5 years ,All
3,Yelahanka New Town,1750,150000,24000,Semi Furnished,1-3 years ,Family
1,Bommanahalli,800,60000,9500,Semi Furnished,1-3 years ,All
2,Jayanagar,500,130000,13000,UnFurnished,1-3 years ,Family
1,Hebbal,450,70000,7000,Semi Furnished,>10 years ,Family
2,Varthur,1263,75000,18000,Semi Furnished,3-5 years ,All
3,Brookefield,2280,200000,37000,Semi Furnished,>10 years ,Family
2,Devarabeesanahalli,850,100000,23000,Semi Furnished,Newly Constructed,All
2,Choodasandra,1000,150000,15000,Full Furnished,Newly Constructed,All
2,Devarabeesanahalli,850,100000,23000,Semi Furnished,Newly Constructed,All
2,Choodasandra,1000,150000,15000,Full Furnished,Newly Constructed,All
3,Arakere,1600,210000,21000,UnFurnished,>10 years ,All
1,Whitefield,600,20000,6500,Semi Furnished,Newly Constructed,Bachelors
2,Anjanapura Twp,1100,100000,10000,Semi Furnished,1-3 years ,All
1,Whitefield,1000,150000,16500,Semi Furnished,3-5 years ,All
1,Marathahalli,600,40000,16000,UnFurnished,5-10 years ,All
1,Chandra Layout,720,800000,11000,Semi Furnished,5-10 years ,All
1,Kodigehalli,600,40000,4500,Semi Furnished,1-3 years ,All
2,Banashankari 3rd Stage,800,160000,16000,UnFurnished,5-10 years ,Family
1,Marathahalli,600,15000,8000,Semi Furnished,Newly Constructed,All
2,Kengeri,700,100000,10000,Semi Furnished,Newly Constructed,Family
2,Lingarajapuram,600,1200000,180000,Semi Furnished,Newly Constructed,Family
2,Vasanthapura,1400,150000,15000,Semi Furnished,5-10 years ,Family
1,Banashankari,550,70000,9500,Semi Furnished,5-10 years ,Bachelors
2,Mahadevapura,1120,100000,25000,Full Furnished,3-5 years ,All
2,Kumaraswamy Layout 2nd Stage Park,500,50000,11000,UnFurnished,Newly Constructed,All
2,Yelahanka,1040,60000,14500,Semi Furnished,3-5 years ,All
1,Electronic City,350,15000,5000,Semi Furnished,3-5 years ,All
1,Kadugondanahalli,500,50000,5000,Semi Furnished,>10 years ,Bachelors
1,Ramamurthy Nagar,500,50000,10000,Semi Furnished,5-10 years ,Family
2,Hebbal Kempapura,1400,150000,15000,Semi Furnished,>10 years ,Family
1,Hebbal,700,49000,8000,Full Furnished,1-3 years ,All
2,Electronic City,660,50000,7500,Semi Furnished,5-10 years ,All
1,T. Dasarahalli,200,15000,3000,UnFurnished,3-5 years ,All
4,Bommanahalli,2120,250000,28000,Semi Furnished,>10 years ,Family
1,Ejipura,200,15000,5000,Semi Furnished,1-3 years ,Bachelors
2,Sanjaynagar,1000,150000,15000,Semi Furnished,1-3 years ,Family
2,Banashankari,1200,160000,17000,Full Furnished,>10 years ,Family
2,Muneshwara Nagar,800,60000,14000,Semi Furnished,5-10 years ,All
2,Kumaraswamy Layout,900,100000,17000,UnFurnished,Newly Constructed,All
1,Banashankari,400,50000,8000,Semi Furnished,5-10 years ,All
2,,600,90000,12000,Semi Furnished,Newly Constructed,Family
1,Vijaya Nagar,500,50000,6500,Semi Furnished,5-10 years ,All
3,Electronic City,2000,100000,33000,UnFurnished,5-10 years ,Family
2,Hbr Layout,1200,100000,18000,Semi Furnished,5-10 years ,Family
1,Electronic City,350,25000,9000,Semi Furnished,5-10 years ,All
1,Kadugodi,600,25000,7000,UnFurnished,1-3 years ,All
2,Thanisandra,1328,250000,22000,Semi Furnished,1-3 years ,All
2,Rayasandra,1200,100000,15000,Semi Furnished,5-10 years ,Family
1,Kanshiram Nagar Main Road,350,40000,5000,Semi Furnished,3-5 years ,All
1,Mahadevapura,600,35000,8500,Semi Furnished,5-10 years ,All
2,Hosakerehalli,600,80000,9000,Semi Furnished,5-10 years ,Family
1,Doddanekkundi,400,40000,10000,Semi Furnished,3-5 years ,All
1,Doddakannelli,600,35000,9000,Semi Furnished,Newly Constructed,All
1,Muneshwara Nagar,450,40000,9000,Semi Furnished,5-10 years ,All
2,Chikkakannalli,1049,100000,20000,Semi Furnished,1-3 years ,Family
1,Brookefield,560,65000,15800,Semi Furnished,5-10 years ,All
1,Ramamurthy Nagar,600,60000,8000,Full Furnished,>10 years ,All
3,J. P. Nagar,1360,150000,25000,Semi Furnished,Newly Constructed,All
2,Chikkanagamangala,1165,45000,15500,Semi Furnished,1-3 years ,Family
3,Bellandur,1865,200000,36000,Semi Furnished,>10 years ,All
2,Kalena Agrahara,924,50000,17000,Semi Furnished,5-10 years ,All
1,Kumaraswamy Layout,450,500000,https://images.nobroker.in/images/8a9f8a037028d24d01702dbb2dc95c26/8a9f8a037028d24d01702dbb2dc95c26_23059_8647_medium.jpg,UnFurnished,5-10 years ,Family
3,Malleshwaram,1790,480000,50000,Semi Furnished,5-10 years ,Family
3,Hulimavu,1800,250000,40000,Semi Furnished,5-10 years ,Family
3,Banashankari,1500,165000,15000,Semi Furnished,>10 years ,Family
2,Bellandur,1050,100000,26000,Semi Furnished,>10 years ,All
2,Gottigere,965,100000,12000,Semi Furnished,5-10 years ,Family
2,Panduranga Nagar,1100,100000,15000,UnFurnished,>10 years ,All
1,Abbigere,500,70000,8000,Semi Furnished,Newly Constructed,All
3,Thanisandra,1595,200000,22500,Semi Furnished,1-3 years ,Family
2,Whitefield,1250,100000,25000,Semi Furnished,Newly Constructed,All
2,Yelahanka,1000,120000,12500,Semi Furnished,>10 years ,Family
2,Bommanahalli,1125,100000,15000,Semi Furnished,5-10 years ,Family
1,Garvebhavi Palya,700,40000,9000,Semi Furnished,Newly Constructed,All
2,Malleswaram,1370,300000,30000,Semi Furnished,1-3 years ,Family
2,Dasarahalli,1150,78000,13000,Semi Furnished,5-10 years ,Family
1,K Channasandra,500,500000,https://images.nobroker.in/images/ff80818162196f7c01621970f46a00cf/ff80818162196f7c01621970f46a00cf_34642_medium.jpg,Full Furnished,1-3 years ,Family
1,Kodihalli,500,60000,10500,Semi Furnished,1-3 years ,Family
1,Kodihalli,500,60000,10500,Semi Furnished,1-3 years ,Family
1,Hsr Layout,550,60000,15000,Semi Furnished,Under Construction,All
2,Gnana Bharathi,780,120000,12000,Semi Furnished,1-3 years ,Family
2,Kaggadasapura,1200,50000,14000,Semi Furnished,Under Construction,All
3,Whitefield,1650,149998,22500,Semi Furnished,3-5 years ,All
2,Gunjur Village,1160,60000,22000,Full Furnished,3-5 years ,Family
2,Mahadevapura,1192,200000,30000,Semi Furnished,3-5 years ,Family
2,Hoodi,1025,100000,18000,Semi Furnished,5-10 years ,All
3,Gottigere,1358,100000,20000,Semi Furnished,3-5 years ,Family
2,Koramangala,1050,150000,25000,Semi Furnished,5-10 years ,Family
3,Gottigere,1358,100000,20000,Semi Furnished,3-5 years ,Family
2,Koramangala,1050,150000,25000,Semi Furnished,5-10 years ,Family
2,Kogilu,850,100000,12000,Full Furnished,Newly Constructed,All
2,Hulimavu,800,50000,11000,Semi Furnished,5-10 years ,All
1,Murugeshpalya,720,80000,12000,Semi Furnished,>10 years ,All
1,Begur,500,40000,8000,Semi Furnished,Newly Constructed,Family
2,Malleshwaram,1200,250000,25000,UnFurnished,>10 years ,All
2,Reliable Tranquil Layout,1245,150000,25000,Semi Furnished,5-10 years ,All
2,Akshya Nagar,1125,150000,17500,Semi Furnished,3-5 years ,All
1,Kodathi Village,500,20000,6500,Full Furnished,Newly Constructed,All
1,Munnekollal,500,40000,9000,Semi Furnished,>10 years ,All
2,Nelamangala,800,100000,10500,Semi Furnished,1-3 years ,Family
1,D Group Bbmp Park,600,500000,https://images.nobroker.in/images/8a9f938276edb11e0176ee5318a8123e/8a9f938276edb11e0176ee5318a8123e_29868_21123_medium.jpg,Semi Furnished,Newly Constructed,All
2,R.m.v. 2nd Stage,700,100000,14500,Semi Furnished,5-10 years ,All
1,New Tippasandra,225,40000,8000,Semi Furnished,Newly Constructed,All
2,Basapura,1100,200000,22000,Full Furnished,Newly Constructed,All
1,Jp Nagar,600,60000,10500,Semi Furnished,5-10 years ,Bachelors
1,Ramamurthy Nagar,600,100000,10000,Semi Furnished,>10 years ,All
1,Ramamurthy Nagar,800,100000,10000,Semi Furnished,>10 years ,All
2,Bellandur,1048,60000,14000,Semi Furnished,5-10 years ,All
2,Chinmaya Ejipura,1000,150000,20000,Semi Furnished,5-10 years ,Family
2,Murgesh Pallya,1400,80000,15000,Semi Furnished,5-10 years ,All
2,Varthur,1130,100000,21000,Semi Furnished,3-5 years ,Family
3,Whitefield,1690,200000,41000,Semi Furnished,Newly Constructed,All
1,Royal Placid Phase 1,300,100000,12000,UnFurnished,3-5 years ,Company
3,Begur,1475,100000,16500,Semi Furnished,>10 years ,Family
3,783 14th Cross Road,1300,200000,26000,UnFurnished,>10 years ,Family
1,Konadasapura,600,100000,15000,Semi Furnished,1-3 years ,All
2,Marathahalli,1336,200000,36000,Full Furnished,3-5 years ,All
2,Koramangala,1249,300000,80000,Full Furnished,Newly Constructed,All
3,Hsr Layout,2200,350000,65000,Semi Furnished,5-10 years ,All
1,Kothanur,600,500000,https://images.nobroker.in/images/8a9fa48376ed0cfa0176eda058273de1/8a9fa48376ed0cfa0176eda058273de1_49869_12871_medium.jpg,Semi Furnished,Newly Constructed,All
1,Laggere,600,60000,6000,UnFurnished,>10 years ,All
2,Banashankari Temple Ward,1220,100000,15000,Full Furnished,5-10 years ,Family
2,Kothanur,600,650000,https://images.nobroker.in/images/8a9f9d8276ed0ce30176ed90657537f9/8a9f9d8276ed0ce30176ed90657537f9_37016_16281_medium.jpg,Semi Furnished,Newly Constructed,All
1,Marathahalli,1200,50000,13500,Semi Furnished,5-10 years ,All
1,Indiranagar,178,35000,6000,Semi Furnished,>10 years ,All
1,Rajaji Nagar,100,60000,10000,UnFurnished,5-10 years ,Family
3,Mahadevapura,1500,95000,33000,Semi Furnished,5-10 years ,All
3,Kasturi Nagar,1800,200000,30000,Semi Furnished,>10 years ,Family
2,A Y Residency,1200,150000,28000,Semi Furnished,Newly Constructed,All
2,Hsr Layout,1155,150000,22500,Semi Furnished,5-10 years ,Family
2,Banaswadi,1200,150000,21000,Semi Furnished,3-5 years ,Family
2,Laggere,600,180000,18000,Semi Furnished,Under Construction,Family
1,Rajnandini Hospital,350,80000,8000,UnFurnished,3-5 years ,Family
2,Rustam Bagh Layout,1000,200000,32000,Full Furnished,>10 years ,All
1,Attiguppe,500,60000,7000,Semi Furnished,1-3 years ,Family
2,J. P. Nagar,1265,120000,27000,Full Furnished,3-5 years ,Family
3,C V Raman Nagar,1450,200000,28500,Semi Furnished,5-10 years ,Family
2,Bilekahalli,1000,150000,15000,UnFurnished,>10 years ,All
3,Cholourpalya,1380,250000,25000,Semi Furnished,1-3 years ,Family
1,Krishnarajapura,640,50000,7000,Semi Furnished,1-3 years ,Family
1,Kodigehalli,500,60000,6000,Semi Furnished,3-5 years ,Family
1,Lingarajapuram,300,30000,5000,Semi Furnished,3-5 years ,All
3,Benson Town,1722,550000,55000,Full Furnished,5-10 years ,Family
2,Hulimavu,1200,125000,16500,Semi Furnished,3-5 years ,Family
3,Kodigehalli,1700,300000,35000,Full Furnished,Newly Constructed,Family
3,K R Puram,1100,65000,10000,Semi Furnished,5-10 years ,All
2,Murugesh Pallya,1600,1500000,https://supernova-assets.nobroker.in/videos/property/8a9f92df762435c0017624a03f5715e7/14951999003994623,Semi Furnished,Under Construction,All
3,Jp Nagar,1500,300000,35000,Semi Furnished,>10 years ,Family
1,Bettadasanapura,500,30000,6500,Semi Furnished,1-3 years ,All
3,Bellandur,1800,300000,40000,Full Furnished,5-10 years ,All
2,Madiwala,650,50000,14000,Semi Furnished,3-5 years ,Family
2,Marathahalli,850,75000,15000,Semi Furnished,3-5 years ,All
1,Hegganahalli,330,40000,5500,UnFurnished,1-3 years ,All
1,Nagarabhavi Circle,500,70000,7200,UnFurnished,5-10 years ,Family
2,Kudlu,1300,100000,20000,Full Furnished,3-5 years ,All
2,New Thippasandra,1400,170000,17000,UnFurnished,5-10 years ,All
2,Seegehalli - Kannamangala Road,700,75000,11000,Semi Furnished,Under Construction,Family
